epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202206,DE,10,-7.285714285714286,-1.5714285714285714,-7.333333333333333,-39.57142857142857,-16.142857142857142,5.571428571428571,182.0,2.0,789778.0,651222.0,,256.0,52.0,2643.0,67.0,253292.0,2536.0,24800.0,2204.0,27031.0
202207,DE,10,-8.0,-2.857142857142857,-15.333333333333334,-40.142857142857146,-17.0,5.857142857142857,122.0,3.0,792819.0,654528.0,,213.33333333333331,13.333333333333334,2695.0,52.0,254946.0,1654.0,25831.0,1811.0,27653.0
202208,DE,10,-4.571428571428571,-4.0,-0.5,-39.57142857142857,-18.285714285714285,5.142857142857143,99.0,1.0,795286.0,657350.0,,234.33333333333331,34.333333333333336,2709.0,14.0,256447.0,1501.0,22345.0,863.0,23225.0
202209,DE,10,-4.857142857142857,-3.4285714285714284,-4.333333333333333,-39.0,-15.285714285714286,4.285714285714286,70.0,1.0,797325.0,659838.0,,211.66666666666663,11.666666666666666,2751.0,42.0,257181.0,734.0,21056.0,740.0,21800.0
202210,DE,10,-9.714285714285714,-6.857142857142857,-3.3333333333333335,-42.57142857142857,-16.142857142857142,5.142857142857143,56.0,7.0,798837.0,661701.0,,210.66666666666663,11.666666666666666,2753.0,2.0,258024.0,843.0,16019.0,457.0,16482.0
202211,DE,10,-4.428571428571429,-4.0,13.0,-38.57142857142857,-15.428571428571429,4.0,43.0,6.0,800054.0,663120.0,,207.0,12.0,2833.0,80.0,258595.0,571.0,18950.0,471.0,19425.0
202212,DE,10,-4.857142857142857,-4.428571428571429,4.833333333333333,-38.857142857142854,-14.857142857142858,4.0,47.0,7.0,801243.0,664421.0,,192.66666666666663,2.0,2837.0,4.0,259185.0,590.0,17939.0,499.0,18453.0
202213,DE,10,-6.285714285714286,-5.0,-9.333333333333334,-39.0,-15.285714285714286,4.0,42.0,4.0,802376.0,665622.0,,205.0,14.0,2870.0,33.0,259848.0,663.0,16060.0,579.0,16646.0
202214,DE,10,-4.285714285714286,-3.5714285714285716,2.3333333333333335,-36.142857142857146,-13.714285714285714,3.857142857142857,45.0,14.0,804074.0,667546.0,,209.33333333333331,20.33333333333333,2884.0,14.0,259118.0,1836.0,16835.0,848.0,17690.0
202215,DE,10,2.7142857142857144,4.428571428571429,40.5,-28.0,-17.571428571428573,3.0,36.0,41.0,806077.0,669622.0,,195.33333333333331,8.333333333333334,2894.0,10.0,260041.0,923.0,17714.0,1170.0,18890.0
202216,DE,10,-6.428571428571429,-3.857142857142857,20.666666666666668,-32.0,-24.714285714285715,4.142857142857143,48.0,18.0,807532.0,671271.0,,213.66666666666663,27.666666666666668,2905.0,11.0,261399.0,1358.0,10597.0,896.0,11495.0
202217,DE,10,0.8571428571428571,3.142857142857143,30.166666666666668,-29.857142857142858,-13.0,2.4285714285714284,65.0,6.0,808940.0,672736.0,,210.66666666666663,25.666666666666668,2907.0,2.0,262461.0,1062.0,17333.0,1819.0,19159.0
202218,DE,10,1.2857142857142858,3.7142857142857144,32.0,-34.42857142857143,-14.571428571428571,3.2857142857142856,112.0,7.0,810180.0,674075.0,,191.33333333333331,7.333333333333333,2928.0,21.0,264376.0,1915.0,13700.0,2200.0,15904.0
202219,DE,10,1.1428571428571428,3.0,23.0,-31.857142857142858,-15.0,2.5714285714285716,128.0,4.0,811528.0,675488.0,,202.33333333333331,24.33333333333333,2931.0,3.0,267265.0,2889.0,16200.0,3479.0,19684.0
202220,DE,10,3.7142857142857144,5.285714285714286,47.5,-27.857142857142858,-15.571428571428571,2.2857142857142856,151.0,4.0,812846.0,676855.0,,191.66666666666663,14.666666666666666,2939.0,8.0,271294.0,4029.0,17107.0,4411.0,21530.0
202221,DE,10,5.857142857142857,7.285714285714286,38.666666666666664,-25.857142857142858,-17.142857142857142,2.857142857142857,147.0,4.0,814581.0,678426.0,,224.0,48.0,2956.0,17.0,274899.0,3605.0,14655.0,3498.0,18166.0
202222,DE,10,5.714285714285714,7.714285714285714,70.5,-28.285714285714285,-23.428571428571427,3.4285714285714284,148.0,9.0,815633.0,679443.0,,188.66666666666663,12.666666666666666,2961.0,5.0,277666.0,2767.0,10888.0,2290.0,13189.0
202223,DE,10,6.285714285714286,7.714285714285714,60.5,-26.285714285714285,-17.0,2.4285714285714284,109.0,5.0,816790.0,680532.0,,187.33333333333331,12.333333333333334,2970.0,9.0,280252.0,2586.0,10863.0,1878.0,12760.0
202224,DE,10,6.0,7.571428571428571,57.5,-24.0,-21.0,3.2857142857142856,122.0,2.0,817443.0,681136.0,,205.33333333333331,32.333333333333336,2977.0,7.0,281986.0,1734.0,12467.0,1768.0,14247.0
202225,DE,10,6.285714285714286,8.142857142857142,72.16666666666667,-21.0,-23.714285714285715,3.5714285714285716,103.0,4.0,818193.0,681839.0,,186.66666666666663,14.666666666666666,2983.0,6.0,283632.0,1646.0,10329.0,1693.0,12035.0
202226,DE,10,7.142857142857143,11.428571428571429,79.0,-20.285714285714285,-21.714285714285715,3.4285714285714284,106.0,0.0,820047.0,682756.0,,183.0,9.0,2984.0,1.0,285403.0,1771.0,9087.0,1723.0,10825.0
202227,DE,10,4.571428571428571,8.714285714285714,93.16666666666667,-23.142857142857142,-29.285714285714285,5.428571428571429,102.0,1.0,821165.0,683349.0,,186.0,11.0,2998.0,14.0,287078.0,1675.0,10444.0,2083.0,12535.0
202228,DE,10,5.0,7.857142857142857,82.33333333333333,-21.571428571428573,-20.714285714285715,3.2857142857142856,143.0,1.0,822377.0,684079.0,,209.33333333333331,34.333333333333336,3008.0,10.0,289266.0,2188.0,11650.0,2424.0,14090.0
202229,DE,10,6.0,9.428571428571429,71.33333333333333,-22.714285714285715,-21.285714285714285,5.285714285714286,148.0,0.0,824021.0,685035.0,,222.0,47.0,3021.0,13.0,291619.0,2353.0,11419.0,2609.0,14042.0
202230,DE,10,8.428571428571429,10.857142857142858,66.0,-20.571428571428573,-21.285714285714285,4.0,146.0,2.0,825203.0,685899.0,,225.33333333333331,50.333333333333336,3024.0,3.0,294041.0,2422.0,11028.0,2538.0,13581.0
202231,DE,10,8.142857142857142,10.428571428571429,75.0,-19.0,-21.571428571428573,4.0,157.0,0.0,826375.0,686820.0,,195.66666666666663,20.666666666666668,3026.0,2.0,296190.0,2149.0,11853.0,2852.0,14718.0
202232,DE,10,7.428571428571429,9.285714285714286,75.0,-19.428571428571427,-21.142857142857142,4.142857142857143,161.0,1.0,827763.0,688077.0,,183.0,9.666666666666666,3036.0,10.0,298262.0,2072.0,10944.0,2419.0,13378.0
202233,DE,10,9.285714285714286,10.428571428571429,90.16666666666667,-15.857142857142858,-20.714285714285715,5.428571428571429,161.0,1.0,828834.0,688803.0,,193.0,18.0,3039.0,3.0,300245.0,1983.0,10516.0,2109.0,12641.0
